SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL_RAINFALL,JUN-SEP,MAR-MAY,OCT-DEC,JAN-FEB,CLOUD_COVERAGE,FLOODS
LAKSHADWEEP,1983,23.4,21.7,31.1,46.9,16.7,351.9,207.0,347.0,209.5,136.7,254.1,68.8,1714.8,1115.4,94.7,459.6,45.1,85.8,0
JHARKHAND,1909,5.8,28.8,12.3,24.4,44.6,246.1,213.2,226.6,269.2,84.3,25.8,0.0,1181.1,955.1,81.3,110.1,34.6,63.3,0
ANDAMAN & NICOBAR ISLANDS,2000,45.0,26.2,28.4,87.0,329.8,280.2,415.0,349.9,400.3,315.0,128.5,121.8,2527.1,1445.4,445.2,565.3,71.2,92.2,1
ORISSA,1929,11.2,11.7,35.2,22.6,45.8,106.6,290.9,383.8,163.4,65.8,24.8,3.5,1165.3,944.7,103.6,94.1,22.9,66.8,0
GUJARAT REGION,1916,19.3,18.3,25.3,21.6,37.8,266.6,313.4,352.3,114.6,40.0,18.1,8.9,1236.2,1046.9,84.7,67.0,37.6,70.5,0
HARYANA DELHI & CHANDIGARH,1979,4.5,3.2,5.6,8.1,16.9,10.2,184.6,154.0,104.1,18.3,6.0,1.3,516.8,452.9,30.6,25.6,7.7,59.1,0
RAYALSEEMA,1925,5.2,10.7,6.3,6.2,2.0,89.5,61.5,133.9,79.2,12.6,3.2,0.0,410.3,364.1,14.5,15.8,15.9,65.5,0
RAYALSEEMA,2013,4.0,8.1,0.0,4.4,8.0,81.3,152.7,107.4,68.5,30.7,3.5,0.4,469.0,409.9,12.4,34.6,12.1,56.6,0
COASTAL ANDHRA PRADESH,1993,31.4,9.6,6.6,36.0,50.3,43.7,108.5,41.5,111.4,142.7,40.9,117.6,740.2,305.1,92.9,301.2,41.0,72.8,0
GUJARAT REGION,1911,12.9,11.4,9.9,13.1,38.0,195.6,402.5,180.4,216.8,56.3,14.1,10.4,1161.4,995.3,61.0,80.8,24.3,76.8,1
TAMIL NADU,1996,7.3,4.0,29.9,26.7,57.7,61.1,73.9,99.1,135.8,51.8,251.0,143.4,941.7,369.9,114.3,446.2,11.3,63.0,0
SAURASHTRA & KUTCH,1922,2.7,4.7,13.4,6.8,11.4,33.8,157.2,92.8,40.5,28.2,8.3,1.8,401.6,324.3,31.6,38.3,7.4,66.2,0
SAURASHTRA & KUTCH,1990,7.6,2.6,6.6,0.1,28.8,18.9,84.5,76.1,14.2,15.3,4.6,2.6,261.9,193.7,35.5,22.5,10.2,44.8,0
SUB HIMALAYAN WEST BENGAL,1968,0.0,43.8,51.0,159.0,99.7,395.8,493.5,318.0,407.0,99.7,24.6,0.0,2092.1,1614.3,309.7,124.3,43.8,71.1,1
SUB HIMALAYAN WEST BENGAL,1908,5.6,7.7,32.7,93.3,140.6,371.0,551.9,309.4,236.9,167.9,45.6,15.9,1978.5,1469.2,266.6,229.4,13.3,84.3,1
ASSAM & MEGHALAYA,1934,10.9,32.6,28.5,30.0,174.5,44.2,312.2,237.4,187.3,82.5,48.3,16.6,1205.0,781.1,233.0,147.4,43.5,77.3,0
NORTH INTERIOR KARNATAKA,1958,0.8,0.2,8.5,10.9,10.4,21.6,193.0,31.2,42.0,17.3,9.4,3.8,349.1,287.8,29.8,30.5,1.0,42.8,0
EAST RAJASTHAN,1981,6.0,0.0,9.2,3.0,11.2,56.3,219.8,224.4,78.2,13.2,5.6,4.8,631.7,578.7,23.4,23.6,6.0,63.9,0
COASTAL ANDHRA PRADESH,1901,15.0,17.5,11.3,23.1,26.4,49.1,69.4,64.3,71.6,331.3,112.0,144.7,935.7,254.4,60.8,588.0,32.5,61.9,0
WEST UTTAR PRADESH,1932,12.8,10.2,17.6,16.1,46.1,171.8,291.9,188.1,311.8,60.3,37.9,19.6,1184.2,963.6,79.8,117.8,23.0,64.4,0
CHHATTISGARH,1927,1.8,11.6,16.9,22.8,45.8,239.6,367.1,215.1,125.3,60.1,19.3,6.9,1132.3,947.1,85.5,86.3,13.4,76.2,0
LAKSHADWEEP,1951,31.0,12.3,10.0,22.5,425.0,183.3,526.1,274.5,281.5,237.9,137.8,112.6,2254.5,1265.4,457.5,488.3,43.3,78.0,1
LAKSHADWEEP,1986,23.5,18.0,33.1,46.2,438.7,476.1,237.7,427.3,502.0,210.4,162.3,61.5,2636.8,1643.1,518.0,434.2,41.5,73.3,1
EAST UTTAR PRADESH,2005,0.0,12.6,30.1,12.6,20.4,252.1,180.3,127.1,122.0,40.1,0.0,7.2,804.5,681.5,63.1,47.3,12.6,53.9,0
EAST UTTAR PRADESH,1938,8.5,15.2,14.2,22.2,33.0,101.2,414.9,359.8,263.3,90.4,0.0,13.6,1336.3,1139.2,69.4,104.0,23.7,62.2,1
ARUNACHAL PRADESH,1929,27.2,8.3,11.1,122.9,147.1,249.9,474.5,332.1,343.1,123.3,40.8,2.8,1883.1,1399.6,281.1,166.9,35.5,81.6,1
UTTARAKHAND,1932,76.2,36.5,102.5,39.7,68.2,103.9,270.9,250.8,0.0,51.6,34.7,38.1,1073.1,625.6,210.4,124.4,112.7,70.7,0
NORTH INTERIOR KARNATAKA,2011,1.6,2.2,1.3,3.8,14.3,32.1,154.1,159.5,42.6,17.4,5.5,3.9,438.3,388.3,19.4,26.8,3.8,67.2,0
HARYANA DELHI & CHANDIGARH,1946,5.0,0.0,8.9,4.2,1.2,41.5,90.2,143.0,47.4,28.6,5.0,4.8,379.8,322.1,14.3,38.4,5.0,63.3,0
WEST UTTAR PRADESH,2014,11.2,13.5,10.2,0.0,19.6,150.2,351.4,258.7,197.6,48.7,32.5,1.9,1095.5,957.9,29.8,83.1,24.7,57.9,0
MATSHYA PRADESH,2012,8.5,5.3,8.2,10.7,28.6,44.0,213.5,20.6,85.7,6.3,2.5,4.1,438.0,363.8,47.5,12.9,13.8,63.5,0
CHHATTISGARH,1936,0.0,23.6,6.0,10.8,39.6,132.8,307.7,87.5,199.9,66.5,9.9,0.0,884.3,727.9,56.4,76.4,23.6,59.0,0
NAGA MANI MIZO TRIPURA,1973,13.8,8.9,51.1,52.4,119.1,270.5,517.1,451.0,167.9,122.7,19.4,0.0,1793.9,1406.5,222.6,142.1,22.7,64.8,1
WEST UTTAR PRADESH,1934,22.6,15.5,1.2,13.2,45.3,275.3,137.3,109.6,311.0,71.7,6.3,11.2,1020.2,833.2,59.7,89.2,38.1,63.8,0
HARYANA DELHI & CHANDIGARH,1901,5.6,13.9,6.0,3.4,11.6,30.3,141.7,67.8,45.8,2.2,3.6,3.4,335.3,285.6,21.0,9.2,19.5,52.8,0
ANDAMAN & NICOBAR ISLANDS,2013,45.4,23.8,11.4,92.7,273.7,390.0,456.2,409.3,441.5,335.9,166.5,136.9,2783.3,1697.0,377.8,639.3,69.2,91.2,1
COASTAL KARNATAKA,1978,10.3,5.2,6.7,0.0,78.7,564.3,620.6,442.3,297.3,90.6,51.4,4.0,2171.4,1924.5,85.4,146.0,15.5,90.4,1
KONKAN & GOA,1966,6.2,5.0,9.5,16.4,85.3,549.0,1109.2,679.8,154.7,50.1,37.4,6.8,2709.4,2492.7,111.2,94.3,11.2,92.9,1
TAMIL NADU,2007,23.8,12.4,29.5,9.2,52.6,28.4,103.1,2.7,13.4,221.3,412.6,158.7,1067.7,147.6,91.3,792.6,36.2,50.1,0
LAKSHADWEEP,1964,18.0,38.1,6.5,82.7,190.1,311.3,456.7,208.7,496.9,221.4,188.2,120.7,2339.3,1473.6,279.3,530.3,56.1,87.7,1
GUJARAT REGION,1942,17.8,6.8,28.7,0.0,35.8,76.3,364.8,328.8,325.4,102.6,13.3,1.5,1301.8,1095.3,64.5,117.4,24.6,67.0,0
UTTARAKHAND,2013,83.2,37.0,62.5,38.9,14.4,175.3,184.6,187.3,89.2,54.0,0.0,39.3,965.7,636.4,115.8,93.3,120.2,67.8,0
JAMMU & KASHMIR,1979,77.8,92.8,36.3,68.7,38.5,116.7,223.4,264.4,117.7,41.3,2.6,47.5,1127.7,722.2,143.5,91.4,170.6,77.5,0
SUB HIMALAYAN WEST BENGAL,1971,6.2,27.7,25.9,83.8,198.1,218.9,444.2,384.7,271.2,94.8,48.2,5.2,1808.9,1319.0,307.8,148.2,33.9,78.8,1
WEST RAJASTHAN,1986,8.0,7.5,9.3,18.1,24.7,58.3,201.7,170.2,113.1,10.1,0.0,1.9,622.9,543.3,52.1,12.0,15.5,60.2,0
ORISSA,1911,6.8,16.5,0.3,21.7,46.8,183.0,342.3,387.8,175.4,40.4,26.9,15.0,1262.9,1088.5,68.8,82.3,23.3,64.0,0
NORTH INTERIOR KARNATAKA,1975,4.0,0.0,9.5,13.4,1.9,71.7,140.2,59.1,23.8,18.7,2.8,6.6,351.7,294.8,24.8,28.1,4.0,57.8,0
SUB HIMALAYAN WEST BENGAL,1946,14.2,36.0,56.9,95.0,91.0,606.2,267.6,315.6,131.1,146.9,32.3,16.1,1808.9,1320.5,242.9,195.3,50.2,79.6,1
NAGA MANI MIZO TRIPURA,1920,9.4,14.6,43.9,57.3,83.5,362.3,475.5,261.5,360.6,88.4,33.8,16.6,1807.4,1459.9,184.7,138.8,24.0,91.0,1
EAST MADHYA PRADESH,1979,4.9,10.4,12.9,11.0,27.3,57.1,235.8,237.2,162.1,52.8,14.4,10.9,836.8,692.2,51.2,78.1,15.3,54.2,0
GANGETIC WEST BENGAL,2010,0.0,27.0,11.7,41.0,182.6,450.1,390.9,216.1,216.5,170.4,31.7,9.2,1747.2,1273.6,235.3,211.3,27.0,74.1,1
TELANGANA,1995,17.3,6.0,6.4,3.4,21.9,84.5,299.6,261.7,104.5,77.7,30.2,10.1,923.3,750.3,31.7,118.0,23.3,75.4,0
RAYALSEEMA,1991,0.0,12.9,8.0,17.8,25.9,82.3,130.3,89.5,71.2,7.9,5.3,0.0,451.1,373.3,51.7,13.2,12.9,66.5,0
KERALA,2013,6.0,0.0,7.2,65.3,36.8,718.9,380.7,688.2,210.8,140.1,14.2,12.3,2280.5,1998.6,109.3,166.6,6.0,73.4,1
SOUTH INTERIOR KARNATAKA,1903,10.7,8.6,18.8,17.7,31.0,176.7,248.5,180.3,142.7,95.9,16.2,2.9,950.0,748.2,67.5,115.0,19.3,73.0,0
CHHATTISGARH,1962,8.8,0.0,40.3,27.5,40.1,231.9,227.7,270.4,87.6,41.8,18.9,0.0,995.0,817.6,107.9,60.7,8.8,54.4,0
ORISSA,1958,8.9,16.6,22.4,32.0,50.6,186.4,449.9,269.6,167.9,78.2,12.8,19.1,1314.4,1073.8,105.0,110.1,25.5,73.9,1
TAMIL NADU,1921,21.6,6.7,22.0,13.1,88.4,36.4,69.2,48.2,128.9,168.2,364.9,157.9,1125.5,282.7,123.5,691.0,28.3,57.0,0
UTTARAKHAND,1915,98.3,64.2,65.6,49.7,18.7,143.1,257.9,185.0,80.6,52.1,26.3,32.7,1074.2,666.6,134.0,111.1,162.5,74.8,0
COASTAL ANDHRA PRADESH,1986,21.2,20.4,7.8,41.2,45.1,38.7,62.8,88.8,95.4,215.0,457.8,169.3,1263.5,285.7,94.1,842.1,41.6,62.4,1
ARUNACHAL PRADESH,1938,2.9,31.5,57.5,124.2,109.8,277.0,203.3,306.8,369.7,96.7,39.6,8.5,1627.5,1156.8,291.5,144.8,34.4,60.7,0
EAST RAJASTHAN,2011,5.0,0.4,5.3,0.0,13.1,9.2,180.3,131.1,74.0,30.2,1.2,6.5,456.3,394.6,18.4,37.9,5.4,51.6,0
TELANGANA,1950,14.8,3.1,6.8,12.7,22.1,86.6,390.1,239.3,204.7,42.9,0.0,9.6,1032.7,920.7,41.6,52.5,17.9,63.8,0
JAMMU & KASHMIR,1946,88.8,124.7,19.9,15.7,51.1,107.2,401.7,245.4,233.6,0.0,23.1,19.3,1330.5,987.9,86.7,42.4,213.5,56.9,0
SUB HIMALAYAN WEST BENGAL,1969,11.2,11.8,48.5,142.4,52.8,358.2,392.1,399.6,241.2,112.7,31.9,7.6,1810.0,1391.1,243.7,152.2,23.0,75.6,1
ANDAMAN & NICOBAR ISLANDS,1965,36.2,10.4,29.1,61.1,251.2,396.2,389.7,300.6,378.3,226.7,221.8,71.6,2372.9,1464.8,341.4,520.1,46.6,82.0,1
HIMACHAL PRADESH,2011,65.7,37.6,78.8,54.0,28.3,87.0,238.6,176.9,188.4,43.0,4.1,17.7,1020.1,690.9,161.1,64.8,103.3,68.5,0
KONKAN & GOA,1904,11.9,7.0,8.9,14.4,89.3,436.7,836.0,628.0,278.4,88.5,0.0,19.2,2418.3,2179.1,112.6,107.7,18.9,90.0,1
ORISSA,1961,13.5,10.9,14.4,26.4,33.1,248.5,121.5,284.0,130.6,31.7,10.4,8.3,933.3,784.6,73.9,50.4,24.4,74.6,0
BIHAR,1945,8.6,0.0,9.6,23.4,16.8,83.1,76.9,206.9,99.5,30.5,12.3,4.4,572.0,466.4,49.8,47.2,8.6,42.7,0
SUB HIMALAYAN WEST BENGAL,1939,16.2,26.6,44.7,72.5,200.0,314.0,164.0,227.1,263.3,135.5,29.2,19.8,1512.9,968.4,317.2,184.5,42.8,72.4,0
EAST UTTAR PRADESH,1984,10.0,10.0,27.5,22.7,45.0,215.1,179.2,200.9,211.6,49.0,12.6,15.7,999.3,806.8,95.2,77.3,20.0,52.5,0
NAGA MANI MIZO TRIPURA,2012,3.3,46.2,36.4,39.1,51.5,237.5,376.4,454.4,356.7,119.7,23.2,12.7,1757.1,1425.0,127.0,155.6,49.5,78.0,1
PUNJAB,1974,1.5,4.1,0.5,9.7,11.3,37.3,90.3,95.8,62.5,9.8,2.9,2.8,328.5,285.9,21.5,15.5,5.6,54.9,0
COASTAL ANDHRA PRADESH,1957,11.9,18.0,16.0,22.4,58.6,38.5,8.0,91.9,59.2,265.4,275.8,159.0,1024.7,197.6,97.0,700.2,29.9,65.4,0
GUJARAT REGION,1913,10.6,15.8,7.9,11.5,28.3,96.2,355.8,230.5,0.0,48.8,4.6,0.0,810.0,682.5,47.7,53.4,26.4,61.3,0
LAKSHADWEEP,1977,49.9,23.8,15.9,61.4,254.1,273.6,241.5,177.3,311.0,262.6,174.2,65.4,1910.7,1003.4,331.4,502.2,73.7,84.4,1
HARYANA DELHI & CHANDIGARH,1943,0.0,8.1,1.0,4.2,0.3,37.5,168.8,120.6,89.4,20.2,0.7,2.3,453.1,416.3,5.5,23.2,8.1,61.6,0
NAGA MANI MIZO TRIPURA,1958,9.6,14.4,19.3,80.4,116.8,196.5,405.2,526.9,247.0,194.9,61.7,2.4,1875.1,1375.6,216.5,259.0,24.0,82.9,1
UTTARAKHAND,1916,57.0,71.1,18.2,29.4,63.9,241.5,234.3,113.6,65.7,39.3,26.8,39.6,1000.4,655.1,111.5,105.7,128.1,72.3,0
ORISSA,1904,5.3,19.2,24.0,40.3,54.3,205.0,125.2,406.2,244.3,37.0,22.3,1.8,1184.9,980.7,118.6,61.1,24.5,58.6,0
HARYANA DELHI & CHANDIGARH,2005,0.2,8.1,0.3,11.0,18.7,32.6,138.4,50.6,30.0,12.6,4.2,2.4,309.1,251.6,30.0,19.2,8.3,61.3,0
MADHYA MAHARASHTRA,1939,1.6,27.3,2.2,22.3,45.1,74.7,296.6,335.0,180.9,146.1,0.0,14.4,1146.2,887.2,69.6,160.5,28.9,78.4,0
GUJARAT REGION,1922,10.6,6.1,17.3,0.0,39.0,167.9,337.5,344.6,205.7,64.4,6.2,3.7,1203.0,1055.7,56.3,74.3,16.7,71.7,0
HIMACHAL PRADESH,2003,89.1,32.6,10.7,54.2,31.0,134.4,372.8,184.0,127.3,45.5,2.0,18.6,1102.2,818.5,95.9,66.1,121.7,50.6,0
NORTH INTERIOR KARNATAKA,1932,5.8,16.1,5.4,3.8,29.2,10.3,50.6,76.2,51.5,8.8,3.9,3.5,265.1,188.6,38.4,16.2,21.9,52.3,0
RAYALSEEMA,1916,2.3,9.1,1.7,0.0,27.1,78.5,80.4,84.0,32.5,18.3,9.2,4.4,347.5,275.4,28.8,31.9,11.4,58.8,0
EAST RAJASTHAN,1939,4.0,9.3,8.0,15.2,10.4,6.5,172.3,114.0,51.1,12.6,11.7,1.7,416.8,343.9,33.6,26.0,13.3,55.1,0
MADHYA MAHARASHTRA,1956,15.1,30.2,21.6,4.8,59.6,148.8,204.6,173.6,238.5,67.2,18.5,15.7,998.2,765.5,86.0,101.4,45.3,70.4,0
COASTAL KARNATAKA,1911,9.0,8.0,13.7,22.4,140.5,639.8,697.0,689.4,309.6,137.5,44.1,14.0,2725.0,2335.8,176.6,195.6,17.0,74.2,1
SOUTH INTERIOR KARNATAKA,1954,16.6,14.0,22.7,0.0,46.0,118.7,207.4,254.9,111.5,59.9,13.6,14.4,879.7,692.5,68.7,87.9,30.6,76.1,0
NORTH INTERIOR KARNATAKA,1989,4.5,7.0,14.8,5.3,0.0,87.3,78.3,85.5,26.5,11.4,1.5,4.4,326.5,277.6,20.1,17.3,11.5,39.1,0
ANDAMAN & NICOBAR ISLANDS,1971,44.9,23.1,0.0,73.0,318.5,503.0,394.9,282.9,329.6,314.3,133.8,64.6,2482.6,1510.4,391.5,512.7,68.0,69.5,1
TELANGANA,1904,10.9,30.9,11.7,0.0,8.5,150.7,372.5,207.8,163.8,80.5,5.3,4.3,1046.9,894.8,20.2,90.1,41.8,69.6,0
RAYALSEEMA,1987,1.1,0.0,10.1,10.2,0.0,25.4,146.4,151.3,85.2,11.4,0.0,4.7,445.8,408.3,20.3,16.1,1.1,57.7,0
KONKAN & GOA,1903,4.3,0.0,12.9,28.4,65.1,684.8,525.2,507.0,302.6,33.3,38.9,15.9,2218.4,2019.6,106.4,88.1,4.3,78.4,1
MATSHYA PRADESH,1955,5.7,3.4,3.8,2.1,14.9,41.6,145.0,122.5,83.7,9.9,0.0,4.5,437.1,392.8,20.8,14.4,9.1,58.0,0
ASSAM & MEGHALAYA,1983,3.1,29.8,6.7,122.6,122.8,357.5,386.0,196.8,375.0,257.5,22.3,7.4,1887.5,1315.3,252.1,287.2,32.9,90.7,1
COASTAL KARNATAKA,2002,0.0,10.4,17.3,0.0,7.7,249.1,929.0,669.2,207.7,145.0,43.2,7.1,2285.7,2055.0,25.0,195.3,10.4,86.9,1
PUNJAB,1918,6.9,0.2,9.6,4.4,32.8,24.9,102.4,102.3,61.6,19.9,0.1,2.9,368.0,291.2,46.8,22.9,7.1,39.6,0
KONKAN & GOA,2011,6.6,0.0,7.4,13.7,68.7,860.5,1093.3,753.3,253.8,165.4,42.2,10.4,3275.3,2960.9,89.8,218.0,6.6,86.9,1
ORISSA,2005,16.2,18.0,13.3,20.5,38.0,118.7,364.4,186.3,207.4,0.0,9.5,20.5,1012.8,876.8,71.8,30.0,34.2,69.0,0
NORTH INTERIOR KARNATAKA,1954,4.5,2.8,0.0,17.4,12.6,25.0,52.1,59.9,87.6,25.6,6.0,3.3,296.8,224.6,30.0,34.9,7.3,47.4,0
JAMMU & KASHMIR,1997,32.3,87.2,33.4,25.7,45.4,36.5,253.7,222.5,221.1,23.6,2.0,24.4,1007.8,733.8,104.5,50.0,119.5,64.0,0
HARYANA DELHI & CHANDIGARH,1949,2.8,2.6,12.2,0.6,0.0,53.0,119.9,90.9,89.8,5.9,4.2,2.3,384.2,353.6,12.8,12.4,5.4,66.6,0
WEST RAJASTHAN,1997,4.7,2.0,0.0,14.0,24.6,51.3,131.5,143.0,66.7,24.0,3.1,5.6,470.5,392.5,38.6,32.7,6.7,62.3,0
EAST RAJASTHAN,1901,1.2,3.1,7.1,5.2,3.8,0.0,200.1,167.2,76.8,6.9,6.2,4.9,482.5,444.1,16.1,18.0,4.3,57.3,0
ORISSA,1973,0.0,23.8,10.9,29.4,14.6,95.5,339.6,105.7,249.3,97.8,16.8,8.9,992.3,790.1,54.9,123.5,23.8,72.9,0
BIHAR,1942,3.0,17.4,18.5,8.9,24.1,140.4,244.6,151.0,228.9,52.7,15.2,4.5,909.2,764.9,51.5,72.4,20.4,67.4,0
NORTH INTERIOR KARNATAKA,2003,4.1,5.4,4.3,10.0,21.9,68.4,70.7,88.6,95.8,23.9,0.0,3.7,396.8,323.5,36.2,27.6,9.5,53.7,0
WEST RAJASTHAN,1982,2.1,0.9,0.0,16.3,15.1,44.4,144.2,121.3,93.6,7.6,5.2,1.2,451.9,403.5,31.4,14.0,3.0,58.7,0
TAMIL NADU,1983,21.9,10.9,23.0,21.0,54.5,24.8,147.6,48.0,72.0,261.8,257.1,164.2,1106.8,292.4,98.5,683.1,32.8,51.9,0
ORISSA,1975,1.7,12.2,24.9,12.6,28.1,170.4,388.3,322.0,237.2,47.2,19.0,3.7,1267.3,1117.9,65.6,69.9,13.9,75.2,0
BIHAR,1935,7.6,12.6,15.7,18.2,47.9,145.0,179.2,228.5,192.5,96.9,21.0,2.9,968.0,745.2,81.8,120.8,20.2,63.3,0
KERALA,1999,1.9,0.0,13.6,28.3,64.9,457.6,862.8,388.2,192.1,59.9,35.9,5.3,2110.5,1900.7,106.8,101.1,1.9,90.9,1
EAST MADHYA PRADESH,1979,14.0,6.2,4.8,16.4,30.4,134.1,274.5,277.7,84.2,22.4,0.0,13.7,878.4,770.5,51.6,36.1,20.2,72.9,0
TELANGANA,1964,1.2,12.2,17.1,13.3,6.7,254.8,405.9,229.4,215.7,45.5,5.0,19.0,1225.8,1105.8,37.1,69.5,13.4,66.0,1
ARUNACHAL PRADESH,1904,0.0,21.7,55.9,76.3,117.1,284.1,355.5,201.7,215.7,146.1,34.8,11.3,1520.2,1057.0,249.3,192.2,21.7,70.0,0
ORISSA,1904,0.0,13.4,29.3,2.3,21.2,169.7,392.8,224.1,131.5,0.9,16.0,20.3,1021.5,918.1,52.8,37.2,13.4,74.7,0
NORTH INTERIOR KARNATAKA,1954,4.8,4.9,6.3,7.9,6.9,70.6,131.3,100.7,30.7,28.0,6.0,1.9,400.0,333.3,21.1,35.9,9.7,48.7,0
ORISSA,1927,3.3,5.9,0.0,25.7,2.5,76.3,93.2,253.1,169.5,50.2,4.6,1.0,685.3,592.1,28.2,55.8,9.2,48.2,0
NAGA MANI MIZO TRIPURA,1967,2.9,23.8,49.7,66.0,99.8,308.5,375.6,374.2,421.3,123.4,20.4,2.9,1868.5,1479.6,215.5,146.7,26.7,71.5,1
BIHAR,1978,0.7,13.3,6.1,26.2,30.5,31.9,338.9,324.9,110.4,72.6,6.4,8.6,970.5,806.1,62.8,87.6,14.0,59.3,0
VIDARBHA,1923,13.4,20.5,15.3,42.6,30.5,227.5,241.1,446.7,289.9,56.2,29.3,16.3,1429.3,1205.2,88.4,101.8,33.9,69.1,1
NORTH INTERIOR KARNATAKA,1971,4.8,8.4,0.0,2.5,1.0,83.0,134.9,56.6,46.7,26.8,3.2,2.3,370.2,321.2,3.5,32.3,13.2,45.2,0
GUJARAT REGION,1956,12.5,32.0,23.0,31.7,28.1,66.9,73.2,218.5,0.0,75.4,11.2,0.1,572.6,358.6,82.8,86.7,44.5,43.6,0
RAYALSEEMA,1997,5.4,7.8,2.2,6.8,17.1,14.8,130.7,42.8,77.0,10.6,0.0,1.8,317.0,265.3,26.1,12.4,13.2,61.6,0
BIHAR,1981,9.0,4.3,31.5,27.5,25.0,56.8,241.8,242.4,205.8,78.2,23.1,0.0,945.4,746.8,84.0,101.3,13.3,53.6,0
HIMACHAL PRADESH,1949,126.9,71.9,44.4,42.2,49.8,20.5,282.7,208.3,148.4,22.5,4.1,43.2,1064.9,659.9,136.4,69.8,198.8,68.3,0
UTTARAKHAND,1953,14.7,84.5,15.1,26.8,71.6,152.9,286.6,321.9,183.6,0.0,11.3,29.4,1198.4,945.0,113.5,40.7,99.2,53.6,0
JHARKHAND,1958,1.8,31.2,11.1,48.2,12.9,189.4,300.7,186.2,147.3,59.5,6.6,6.5,1001.4,823.6,72.2,72.6,33.0,64.5,0
RAYALSEEMA,1975,7.7,6.8,14.1,11.4,26.4,81.0,0.0,116.9,18.5,3.2,1.0,2.4,289.4,216.4,51.9,6.6,14.5,58.9,0
MADHYA MAHARASHTRA,1959,7.9,17.8,22.8,25.3,4.1,105.6,282.4,318.7,87.0,59.7,0.0,14.2,945.5,793.7,52.2,73.9,25.7,53.4,0
UTTARAKHAND,1948,26.2,81.6,94.4,18.1,69.7,92.9,315.9,277.8,159.3,3.3,21.8,37.5,1198.5,845.9,182.2,62.6,107.8,72.9,0
ORISSA,1935,1.5,4.8,5.5,27.3,31.1,96.2,332.2,303.5,131.4,59.2,20.5,2.8,1016.0,863.3,63.9,82.5,6.3,70.1,0
BIHAR,1982,10.1,13.5,20.1,37.4,38.5,87.0,402.6,391.2,400.6,26.3,17.4,0.0,1444.7,1281.4,96.0,43.7,23.6,61.8,1
MADHYA MAHARASHTRA,2012,19.5,5.8,0.0,14.3,0.4,195.1,94.1,262.3,34.6,50.4,31.4,10.2,718.1,586.1,14.7,92.0,25.3,58.4,0
EAST UTTAR PRADESH,1972,1.9,7.8,11.6,0.0,52.5,142.2,254.8,389.8,230.2,43.9,16.6,7.7,1159.0,1017.0,64.1,68.2,9.7,65.1,0
NORTH INTERIOR KARNATAKA,1998,0.0,0.0,10.9,4.1,21.7,51.8,99.2,89.6,107.5,0.5,2.8,4.8,392.9,348.1,36.7,8.1,0.0,58.1,0
ORISSA,1972,6.3,5.5,17.2,16.1,34.2,211.0,184.2,339.6,129.0,124.5,31.2,7.3,1106.1,863.8,67.5,163.0,11.8,58.7,0
ANDAMAN & NICOBAR ISLANDS,1912,43.1,19.6,38.9,105.1,223.0,214.7,403.1,495.9,256.0,252.8,262.2,22.8,2337.2,1369.7,367.0,537.8,62.7,67.4,1
COASTAL KARNATAKA,1926,3.3,8.8,6.3,31.2,32.0,629.9,604.9,699.8,387.6,96.7,81.0,7.7,2589.2,2322.2,69.5,185.4,12.1,77.1,1
WEST RAJASTHAN,1915,5.7,2.2,0.0,7.3,10.5,52.8,101.8,19.7,48.3,11.9,5.9,1.6,267.7,222.6,17.8,19.4,7.9,49.2,0
JHARKHAND,1931,15.9,10.2,23.6,21.0,47.1,126.8,181.1,373.6,172.1,66.6,27.3,1.8,1067.1,853.6,91.7,95.7,26.1,72.6,0
EAST UTTAR PRADESH,1943,11.9,18.5,13.4,12.5,15.3,84.6,389.1,220.5,253.8,54.4,8.2,1.4,1083.6,948.0,41.2,64.0,30.4,72.6,0
BIHAR,1993,1.5,28.9,6.6,29.0,27.8,130.8,165.6,252.1,98.9,9.6,16.2,4.2,771.2,647.4,63.4,30.0,30.4,71.3,0
RAYALSEEMA,1949,7.3,2.6,4.2,6.0,0.0,63.4,121.9,157.6,35.3,25.9,7.5,3.1,434.8,378.2,10.2,36.5,9.9,53.2,0
RAYALSEEMA,1980,9.4,6.2,7.8,7.6,12.8,3.3,159.7,143.2,31.5,13.2,3.1,3.8,401.6,337.7,28.2,20.1,15.6,43.4,0
MADHYA MAHARASHTRA,1979,4.7,19.5,15.7,0.0,36.6,209.8,176.3,292.7,308.1,63.4,26.4,5.3,1158.5,986.9,52.3,95.1,24.2,51.3,0
UTTARAKHAND,1942,50.3,65.6,19.2,33.4,83.4,71.8,164.7,234.3,156.7,47.5,13.9,31.1,971.9,627.5,136.0,92.5,115.9,49.4,0
TELANGANA,1952,0.1,27.5,13.4,31.2,4.4,308.3,360.4,239.6,158.6,82.0,21.8,9.1,1256.4,1066.9,49.0,112.9,27.6,81.6,0
NORTH INTERIOR KARNATAKA,1920,6.9,5.5,4.2,0.0,18.2,46.8,147.7,134.3,97.0,18.4,0.9,0.0,479.9,425.8,22.4,19.3,12.4,61.8,0
MADHYA MAHARASHTRA,1952,18.9,10.1,0.4,12.2,47.1,114.5,333.0,273.5,229.7,114.5,20.9,8.9,1183.7,950.7,59.7,144.3,29.0,75.2,0
